,Percentage,,,,,,,Real Number,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,,Mkt-RF,SMB,HML,RMW,CMA,RF,,S&P Return,Rt-Rf,,,CAPM_Beta,,,Residual,E^2,RSS,Y-Ybar,(Y-Ybar)^2,TSS,ESS
198502,1.22,0.99,-0.12,1.26,1.03,0.58,,0.0122,0.0099,-0.0012,0.0126,0.0103,0.0058,,0.008628781,0.002828781,,Intercept,-0.002256749,,,-0.006766835,4.57901E-05,0.004390549,-0.00227389,5.17058E-06,0.720056945,0.715666396
198503,-0.84,-1.47,4.1,1.02,2.94,0.62,,-0.0084,-0.0147,0.041,0.0102,0.0294,0.0062,,-0.002870013,-0.009070013,,Mkt-RF,1.009013957,,,-0.003694418,1.36487E-05,,-0.014172685,0.000200865,,
198504,-0.96,-0.11,3.73,1.49,0.71,0.72,,-0.0096,-0.0011,0.0373,0.0149,0.0071,0.0072,,-0.004594276,-0.011794276,,SMB,-0.16459171,,,-0.002182972,4.76536E-06,,-0.016896948,0.000285507,,
198505,5.09,-2.35,-0.86,1.11,-1.39,0.66,,0.0509,-0.0235,-0.0086,0.0111,-0.0139,0.0066,,0.054051053,0.047451053,,HML,0.025486956,,,-0.005356586,2.8693E-05,,0.042348382,0.001793385,,
198506,1.27,0.43,0.63,1.5,-0.59,0.55,,0.0127,0.0043,0.0063,0.015,-0.0059,0.0055,,0.012134017,0.006634017,,RMW,0.059762767,,,-0.004015538,1.61245E-05,,0.001531346,2.34502E-06,,
198507,-0.74,2.89,-1.63,-0.37,-0.31,0.62,,-0.0074,0.0289,-0.0163,-0.0037,-0.0031,0.0062,,-0.004847579,-0.011047579,,CMA,0.04363357,,,0.004204398,1.7677E-05,,-0.01615025,0.000260831,,
198508,-1.02,-0.31,2.28,0.33,1.88,0.55,,-0.0102,-0.0031,0.0228,0.0033,0.0188,0.0055,,-0.011994516,-0.017494516,,,,,,-0.00705469,4.97687E-05,,-0.022597188,0.000510633,,
198509,-4.54,-1.8,1.32,1.46,1.61,0.6,,-0.0454,-0.018,0.0132,0.0146,0.0161,0.006,,-0.034724078,-0.040724078,,Ybar,0.005102671,,,0.002467789,6.08998E-06,,-0.045826749,0.002100091,,
198510,4.02,-1.52,0.78,0.97,-1.11,0.65,,0.0402,-0.0152,0.0078,0.0097,-0.0111,0.0065,,0.042508814,0.036008814,,,,,,-0.005092756,2.59362E-05,,0.030906143,0.00095519,,
198511,6.48,-0.01,-2.87,0.5,-2.33,0.61,,0.0648,-0.0001,-0.0287,0.005,-0.0233,0.0061,,0.065061588,0.058961588,,,,,,-0.002732903,7.46876E-06,,0.053858916,0.002900783,,
198512,3.88,-0.43,-1.53,0.94,-1.8,0.65,,0.0388,-0.0043,-0.0153,0.0094,-0.018,0.0065,,0.045061093,0.038561093,,,,,,0.00157394,2.47729E-06,,0.033458421,0.001119466,,
198601,0.65,1.02,0.53,-2.28,-2.05,0.56,,0.0065,0.0102,0.0053,-0.0228,-0.0205,0.0056,,0.002366528,-0.003233472,,,,,,-0.00373448,1.39463E-05,,-0.008336144,6.94913E-05,,
198602,7.13,-0.74,-0.94,1.21,-1.39,0.53,,0.0713,-0.0074,-0.0094,0.0121,-0.0139,0.0053,,0.071489277,0.066189277,,,,,,-0.004591693,2.10836E-05,,0.061086606,0.003731573,,
198603,4.88,-0.53,-0.44,1.82,0.99,0.6,,0.0488,-0.0053,-0.0044,0.0182,0.0099,0.006,,0.052793919,0.046793919,,,,,,-0.002469061,6.09626E-06,,0.041691248,0.00173816,,
198604,-1.31,2.95,-2.85,3.36,0.02,0.52,,-0.0131,0.0295,-0.0285,0.0336,0.0002,0.0052,,-0.014148138,-0.019348138,,,,,,-0.000308228,9.50045E-08,,-0.024450809,0.000597842,,
